City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Jamestown,42.1,-79.24,66.2,88,1,3.36,US,1592659411
Cap Malheureux,-19.98,57.61,73.0,70,41,10.0,MU,1592659707
Kapaa,22.08,-159.32,77.0,78,20,14.99,US,1592659707
Bredasdorp,-34.53,20.04,69.8,60,3,3.6,ZA,1592659707
Cidreira,-30.18,-50.21,68.99,89,93,6.17,BR,1592659707
Pachino,36.72,15.09,89.6,22,0,11.41,IT,1592659708
Olafsvik,64.89,-23.71,50.38,86,100,10.16,IS,1592659708
Ushuaia,-54.8,-68.3,33.8,86,75,4.7,AR,1592659708
Busselton,-33.65,115.33,45.0,63,0,8.66,AU,1592659708
Port Alfred,-33.59,26.89,68.0,76,0,10.51,ZA,1592659708
Torbay,47.67,-52.73,45.0,100,90,10.29,CA,1592659708
Saint-Philippe,-21.36,55.77,73.4,69,75,12.75,RE,1592659708
Elko,41.0,-115.5,50.0,54,1,1.23,US,1592659613
Yamada,39.47,141.95,59.63,87,91,3.18,JP,1592659709
Mataura,-46.19,168.86,39.0,83,98,3.0,NZ,1592659709
Cape Town,-33.93,18.42,66.0,77,75,11.41,ZA,1592659583
Nikolskoye,59.7,30.79,64.4,48,100,15.66,RU,1592659709
Bluff,-46.6,168.33,39.0,83,86,3.0,NZ,1592659709
Bethel,41.37,-73.41,75.2,73,1,5.82,US,1592659547
Taksimo,56.34,114.88,59.79,64,96,2.62,RU,1592659427
Saskylakh,71.92,114.08,77.7,39,100,3.78,RU,1592659710
Pampas,-12.4,-74.9,49.62,63,9,1.01,PE,1592659710
Vanavara,60.34,102.28,67.68,58,59,6.08,RU,1592659710
Agia Marina,37.75,23.53,90.0,33,20,17.36,GR,1592659710
Vaini,-21.2,-175.2,73.4,88,20,5.82,TO,1592659711
Touros,-5.2,-35.46,82.4,74,40,16.11,BR,1592659494
Aksay,47.26,39.87,89.01,27,20,8.95,RU,1592659711
Albany,42.6,-73.97,78.8,57,20,1.99,US,1592659711
Chokurdakh,70.63,147.92,78.3,34,2,6.46,RU,1592659711
Hilo,19.73,-155.09,69.8,83,1,4.7,US,1592659711
Barrow,71.29,-156.79,32.0,94,90,11.41,US,1592659711
Alekseyevsk,57.84,108.35,64.26,65,12,3.47,RU,1592659711
Port Elizabeth,-33.92,25.57,71.6,53,54,4.7,ZA,1592659712
