City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tashla,51.77,52.74,57.56,79,1,8.55,RU,1592254800
Severo-Kuril'sk,50.68,156.12,41.5,91,100,13.85,RU,1592254800
Atuona,-9.8,-139.03,80.29,74,18,12.08,PF,1592254800
Darnah,32.77,22.64,75.09,63,0,6.51,LY,1592254800
Ushuaia,-54.8,-68.3,40.6,80,75,5.88,AR,1592254800
Saskylakh,71.92,114.08,52.7,67,86,15.66,RU,1592254800
Saldanha,-33.01,17.94,58.35,79,0,8.41,ZA,1592254800
Albany,42.6,-73.97,73.9,37,19,2.33,US,1592254800
Cape Town,-33.93,18.42,57.7,79,8,6.44,ZA,1592254800
Richards Bay,-28.78,32.04,59.14,68,0,6.89,ZA,1592254800
Mataura,-46.19,168.86,44.6,87,12,4.59,NZ,1592254800
Khorixas,-20.37,14.97,62.6,29,0,7.72,NA,1592254800
Souillac,-20.52,57.52,71.08,77,85,17.49,MU,1592254800
Vaini,-21.2,-175.2,71.94,71,10,26.69,TO,1592254800
Arraial do Cabo,-22.97,-42.03,72.75,71,31,13.71,BR,1592254800
Hermanus,-34.42,19.23,55.65,83,40,10.89,ZA,1592254800
Kahului,20.89,-156.47,79.86,59,12,11.79,US,1592254800
Esperance,-33.87,121.9,53.94,83,90,10.22,AU,1592254800
Ancud,-41.87,-73.82,51.78,81,99,13.71,CL,1592254800
Luanda,-8.84,13.23,72.1,91,1,4.61,AO,1592254800
Katsuura,35.13,140.3,73.54,77,85,13.82,JP,1592254800
Guerrero Negro,27.98,-114.06,74.43,55,2,18.14,MX,1592254800
Jerusalem,31.77,35.22,61.56,90,3,5.55,IL,1592254800
Bathsheba,13.22,-59.52,84.94,63,10,17.56,BB,1592254800
Rikitea,-23.12,-134.97,75.31,82,56,16.22,PF,1592254800
Catalina,32.51,-110.92,96.33,17,0,11.54,US,1592254800
Lompoc,34.64,-120.46,74.16,54,18,14.99,US,1592254800
Champerico,14.3,-91.92,87.48,65,11,7.14,GT,1592254800
Asău,46.43,26.4,63.07,84,12,2.8,RO,1592254800
Tateyama,34.98,139.87,73.44,76,99,8.3,JP,1592254800
Gayéri,12.65,0.49,100.98,25,27,7.16,BF,1592254800
Kapaa,22.08,-159.32,78.84,69,69,13.73,US,1592254800
Klyuchi,52.27,79.17,51.42,64,53,8.08,RU,1592254800
Manbij,36.53,37.95,74.52,52,0,13.04,SY,1592254800
Port Hardy,50.7,-127.42,52.18,90,95,7.02,CA,1592254800
Jamestown,42.1,-79.24,69.08,58,56,3.44,US,1592254800
Yellowknife,62.46,-114.35,53.06,70,94,22.35,CA,1592254800
Quatre Cocos,-20.21,57.76,70.09,78,72,15.41,MU,1592254800
Port Lincoln,-34.73,135.87,58.66,81,94,12.8,AU,1592254800
